model,emoji,gold,prompt_type,temperature,prediction,correct,latency
mistral:7b,🦇🏙️,the dark knight,zero_shot,0.0,Batman Begins,0,0.540229082107544
mistral:7b,🦇🏙️,the dark knight,json_constrained,0.0,Batman in Gotham City,0,1.503748893737793
mistral:7b,🦇🏙️,the dark knight,few_shot,0.0,Batman Begins,0,1.38808012008667
mistral:7b,🦇🏙️,the dark knight,zero_shot,0.3,Batman Begins,0,0.46987104415893555
mistral:7b,🦇🏙️,the dark knight,json_constrained,0.3,Batman in Gotham City,0,1.374311923980713
mistral:7b,🦇🏙️,the dark knight,few_shot,0.3,Batman Begins,0,1.2849669456481934
mistral:7b,🦇🏙️,the dark knight,zero_shot,0.7,Batman Begins,0,0.4824037551879883
mistral:7b,🦇🏙️,the dark knight,json_constrained,0.7,Batman in Gotham City,0,1.512040138244629
mistral:7b,🦇🏙️,the dark knight,few_shot,0.7,Batman Begins (The city emoji represents Gotham),0,1.7847847938537598
llama3.2:latest,🦇🏙️,the dark knight,zero_shot,0.0,Bats Out of Hell,0,0.35389018058776855
llama3.2:latest,🦇🏙️,the dark knight,json_constrained,0.0,Blade of the City,0,0.4036979675292969
llama3.2:latest,🦇🏙️,the dark knight,few_shot,0.0,"Dracula (or more specifically, Dracula Untold)",0,0.6753249168395996
llama3.2:latest,🦇🏙️,the dark knight,zero_shot,0.3,Batman Begins,0,0.2206428050994873
llama3.2:latest,🦇🏙️,the dark knight,json_constrained,0.3,Batman of Gotham City,0,0.40081000328063965
llama3.2:latest,🦇🏙️,the dark knight,few_shot,0.3,Dracula (Bram Stoker's Dracula),0,0.6770288944244385
llama3.2:latest,🦇🏙️,the dark knight,zero_shot,0.7,Dracula in London.,0,0.3099508285522461
llama3.2:latest,🦇🏙️,the dark knight,json_constrained,0.7,Blade in the City,0,0.4391019344329834
llama3.2:latest,🦇🏙️,the dark knight,few_shot,0.7,Batman Begins,0,0.4283111095428467
mistral:7b,🚗⚡🏁,cars,zero_shot,0.0,Fast & Furious: Tokyo Drift,0,0.7776529788970947
mistral:7b,🚗⚡🏁,cars,json_constrained,0.0,Race Car Lightning,0,1.3724970817565918
mistral:7b,🚗⚡🏁,cars,few_shot,0.0,Fast and Furious: Hobbs & Shaw,0,1.6385791301727295
mistral:7b,🚗⚡🏁,cars,zero_shot,0.3,Fast & Furious: Tokyo Drift,0,0.6440248489379883
mistral:7b,🚗⚡🏁,cars,json_constrained,0.3,Racecar Zap Checkered Flag,0,1.4299888610839844
mistral:7b,🚗⚡🏁,cars,few_shot,0.3,Fast and Furious: Tokyo Drift,0,1.6062700748443604
mistral:7b,🚗⚡🏁,cars,zero_shot,0.7,Fast & Furious: Tokyo Drift,0,0.6625268459320068
mistral:7b,🚗⚡🏁,cars,json_constrained,0.7,Race Car Zap,0,1.3221020698547363
mistral:7b,🚗⚡🏁,cars,few_shot,0.7,Lightning McQueen's Racing Academy (based on the Cars franchise),0,1.911241054534912
llama3.2:latest,🚗⚡🏁,cars,zero_shot,0.0,Turbo-Charged Prelude,0,0.3529379367828369
llama3.2:latest,🚗⚡🏁,cars,json_constrained,0.0,Turbo-Charged Racing,0,0.5070540904998779
llama3.2:latest,🚗⚡🏁,cars,few_shot,0.0,Fast and Furious,0,0.4620528221130371
llama3.2:latest,🚗⚡🏁,cars,zero_shot,0.3,Turbo-Charged Prelude,0,0.3155841827392578
llama3.2:latest,🚗⚡🏁,cars,json_constrained,0.3,Turbocharged Racing,0,0.5039570331573486
llama3.2:latest,🚗⚡🏁,cars,few_shot,0.3,Fast and Furious,0,0.44806599617004395
llama3.2:latest,🚗⚡🏁,cars,zero_shot,0.7,Turbo-Charged Prelude,0,0.2999439239501953
llama3.2:latest,🚗⚡🏁,cars,json_constrained,0.7,Turbocharged Racing Car,0,0.5244920253753662
llama3.2:latest,🚗⚡🏁,cars,few_shot,0.7,Racing Heart (Fast and Furious),0,0.5842189788818359
